doc_id,title,abstract,year,source,subject,author,pub_type
EJ1196049,Embodied Digital Technology and Transformation in Higher Education,"Background: The use of digital technology in higher education is overwhelmingly positively assessed in most recent research literature. While some literature indicates certain challenges in this regard, in general, the emphasis is on an encouragement and promotion of digital technology in higher education. While we recognised the positive potential of the use of digital technology in higher education, we were cautious of an instrumentalist and disembodied understanding of (digital) technology and its potential impact on higher education -- as a sector of education and as a body of students. Aim: To re-conceptualise the way in which technology is understood for its use in the higher education sector, as is argued, would be of benefit for transformation in higher education. Setting: South African Higher Education sector. Methods: Phenomenology of embodiment. Results: An embodied understanding of technology through the embodied phenomenology of Merleau-Ponty and an explication of its potential for transformation in higher education via the working concept of the Embodied Screen leads to a full understanding of the student as embodied and socially-embedded individual. Conclusion: A more holistic and embodied understanding of digital technology serves to supplement transformation in higher education, especially if transformation is itself understood in concrete social and bodily terms as is the case in the South African context.",2018,"",Information Technology; Higher Education; Teaching Methods; Educational Change; Phenomenology; Foreign Countries; Barriers; Self Concept; Interpersonal Relationship; Alienation; Educational Philosophy; Human Body; Equal Education; Access to Education; Technology Uses in Education,"du Toit, Jean; Verhoef, Anné H.",Journal Articles; Reports - Evaluative
EJ1360904,Enablers of Technology Agility In Higher Education,"Purpose: The purpose of this study is two-fold. First, to identify and encapsulate the enablers that can facilitate technology integration in higher education and second, to understand and analyze the interplay between technology agility enablers. Design/methodology/approach: The study used the Total Interpretive Structural Modeling (TISM) approach to construct a theoretical model of the technology agility enablers in higher education and MICMAC analysis for ranking and segregating the enablers based on their dependence power into four categories: Autonomous, Dependent, Linkage and Independent. Findings: The study helped identify eight technology agility enablers, with the COVID-19 pandemic as the most significant enabler. The COVID-19 pandemic has catalyzed the diffusion of technology across the education sector in India, including tertiary higher education. The study revealed government initiatives and institutional commitment as other enablers that can promote technology agility in higher education. Practical implications: The results of this study would assist the policymakers and management of universities and colleges in understanding the important enablers that can facilitate technology integration in higher education. Originality/value: Research in the past on technology adoption in higher education has looked into each enabler in isolation. This research provides a comprehensive view of the enablers and has attempted to establish a multidirectional interplay between the enablers.",2022,"",Technology Integration; Technology Uses in Education; Higher Education; COVID-19; Pandemics; Foreign Countries; Universities; College Faculty; College Students; Technical Support; Information Technology; Educational Technology,"Menon, Shalini; Suresh, M.",Journal Articles; Reports - Research
ED654308,A Comprehensive Review to Identify the Challenges and Opportunities of Using Digital Technology in English Teaching in Higher Education,"This study aims to explore the challenges and opportunities of using digital technology in English teaching in higher education. Transforming the teaching and learning process from face-to-face to online learning by utilising digital technology devices and internet connectivity becomes challenging for lecturers and students. However, there are many opportunities of integrating digital technology and education. This study uses narrative literature reviews to identify the challenges and opportunities of utilising digital technology in English teaching in higher education institutions. A number of challenges and opportunities are found in using digital technology in English teaching, including digital technology access, flexibility, engagement, pedagogical dimension, personal dimension, range of sources and cultural awareness. Furthermore, this research can provide significant insight and understanding regarding the difficulties and benefits of integrating digital technology and education in higher education institutions, particularly since the COVID-19 pandemic. It also recommends further research regarding integrating digital technology and education, particularly in English teaching in higher education institutions. [For the full proceedings, see ED654100.]",2023,"",Educational Technology; Technology Integration; Higher Education; Teaching Methods; English,Elvina Gusman; Ergun Gide; Ghulam Chaudhry; Mahmoud El Khodr,Speeches/Meeting Papers; Reports - Research
EJ1439818,"Theorising Technology in Higher Education Internationalisation Using Deep Mediatisation, Actor-Network Theory and Assemblage Thinking","Comparative and international higher education scholarship frequently notes that technology plays a role in higher education internationalisation, but there is low consensus about how. In this paper, we offer interdisciplinary considerations to theorise technology in higher education internationalisation using three theoretical and methodological avenues. Deep mediatisation details how digital technologies datafy our world and reshape sociality alongside higher education. Actor-network theory provides an avenue for social inquiry into a deeply mediatised international higher education. Finally, assemblage thinking attends to fluidity and multiplicity in a deeply mediatised internationalisation of higher education.",2024,"",International Education; Higher Education; Comparative Education; Interdisciplinary Approach; Information Technology; Technology Uses in Education; Global Approach; Social Change; Research Methodology,Milad Mohebali; N. R. Stroup,Journal Articles; Reports - Evaluative
EJ1221345,Integrating Technology into Higher Education: A Case Study in Lebanon,"The higher education sector in Lebanon has undergone significant changes in the past twenty years, with a rapid increase in the number of higher education institutions that differ greatly in their missions, methodologies, and regulations. One of the remarkable differences between higher education institutions (HEI) in Lebanon is their vision and adaptation of technology into their institutions, with the lack of any government rules that guide HEIs to proper technology implementation strategies. While some institutions use international standards and models for quality assurance and management as a base for technology integration, others implement their own strategies of choosing and applying the technologies they deem appropriate. In this paper, we study the effect of technology adaptation strategies on HEIs in Lebanon and propose a model for technology integration in higher education, based on the current needs and status of the Lebanese higher education system. We build our model on the goals of achieving and assuring high quality in the pedagogy, business, and technology sectors in the HEI.",2019,"",Technology Integration; Higher Education; Educational Quality; Case Studies; Teaching Methods; Foreign Countries; Educational Change; Educational Technology; Quality Assurance; Strategic Planning; Business; Educational Administration,"Hamzeh, Wael; Mershad, Khaleel; Vetohin, Sergey",Journal Articles; Reports - Research
ED660094,Technology Foundations for Twenty-First Century Higher Education. HEPI Report 172,"Technology is undoubtedly a foundational asset for higher education providers, but for many leaders in the sector it remains something of a black box. This collection of essays brings together leading EdTech voices to explain how technology is already improving higher education and how much more it could potentially do to transform the student experience for the better. [This collection of essays was sponsored by LearningMate.]",2024,"",Higher Education; Technology Uses in Education; Educational Technology; Technology Integration; Educational Benefits; Educational Improvement; Governance; Artificial Intelligence; Educational Quality; Data; Learning Management Systems; Student Centered Learning; Universities; Educational Trends,"Mary Curnock Cook, Editor",Collected Works - General
EJ1283931,Learning Technology Models That Support Personalization within Blended Learning Environments in Higher Education,"Personalized learning has the potential to transfer the focus of higher education from teacher-centered to learner-centered environments. The purpose of this integrative literature review was to provide an overview of personalized learning theory, learning technology that supports the personalization of higher education, current practices, as well as case studies of implementing technology models to support personalized learning. The review results revealed the following: three technological models that support personalized learning within blended learning environments in higher education, an increase in personalized learning implementation in higher education with the support of the referenced technology models and platforms, and a lack of data-driven and independent research studies that investigate the effectiveness and impact of the personalized learning and technology models on student learning. The article informs educators and higher education administrators of the emerging models, platforms, and related opportunities to implement personalized learning in higher education settings. The review discusses the barriers, challenges, and theoretical and practical implications of implementing a personalized learning approach in higher education. Finally, recommendations for future research are discussed.",2021,"",Individualized Instruction; Educational Technology; Technology Uses in Education; Blended Learning; Models; Higher Education; Technology Integration; Barriers; Program Implementation,"Alamri, Hamdan A.; Watson, Sunnie; Watson, William",Journal Articles; Information Analyses
ED594367,NMC Horizon Report: 2018 Higher Education Edition,"What is on the five-year horizon for higher education institutions? Which trends and technology developments will drive educational change? What are the critical challenges and how can we strategize solutions? These questions regarding technology adoption and educational change steered the discussions of 71 experts to produce this report. Six key trends, six significant challenges, and six developments in educational technology profiled in this higher education report are likely to impact teaching, learning, and creative inquiry in higher education. The three sections of this report constitute a reference and technology planning guide for educators, higher education leaders, administrators, policymakers, and technologists. [For the &quot;NMC Horizon Report: 2017 Higher Education Edition,&quot; see ED582134.]",2018,"",Higher Education; Technology Integration; Educational Technology; Technology Uses in Education; Educational Innovation; Teaching Methods; Blended Learning; Cooperative Learning; Barriers; Technological Literacy; Informal Education; Achievement Gap; Access to Computers; Equal Education; Teacher Role; Telecommunications; Handheld Devices; Internet; Integrated Learning Systems; Artificial Intelligence; Employment Qualifications; Cooperation; Skill Development; Role of Education; Lifelong Learning; Interdisciplinary Approach; Evaluation; Teacher Attitudes; Authentic Learning,"Becker, Samantha Adams; Brown, Malcolm; Dahlstrom, Eden; Davis, Annie; DePaul, Kristi; Diaz, Veronica; Pomerantz, Jeffrey",Reports - Research
EJ1454140,Mapping Knowledge and Research Trend on Technology Adoption in Higher Education: A Bibliometric Analysis,"The growing fascination with technology and its utilization in the field of education has led to a rise in the amount of scholarly writing examining the adoption of technology in higher education. However, little is known about the status of technology adoption in higher education in literature. Accordingly, this study analyzed the academic literature of technology adoption in higher education through a bibliometric analysis. For this purpose, bibliometric tools related to research activity impact indicators and analysis of coauthorship networks and keywords have been used. The result shows significant interests in the field of research and associated contemporary evolution have been identified and presented. The interest in adopting technology in higher education has shown tremendous growth in the last twenty years and is expected to continue increasing. However, the number of citations has not demonstrated an obvious trajectory. The United States maintains the position of being the leading country in terms of profits within the nation's field, whereas China and Australia are noteworthy due to the significant level of international collaboration. The topic analysis emphasizes future research directions and potential theoretical frameworks in this area to address learning difficulties in higher education. This study highlights the intellectual domain of technology adoption in higher education research, tracking its growth and emergent trends. The results emphasise current developments in research and requirements, as well as offer strategies for the future involving larger-scale collaborations on research and further studies on technology adoption in higher education.",2024,"",Technology Uses in Education; Technology Integration; Higher Education; Educational Research; Educational Trends; Bibliometrics; Trend Analysis; Foreign Countries; International Cooperation,Baihaqi Siddik Lubis; Anita Yus,Journal Articles; Information Analyses; Reports - Research
EJ1288163,Disruptive Innovation and Technology Enhanced Learning,"This paper uses disruptive innovation theory as a lens through which to analyse technology enhanced learning in higher education. The paper also explores how higher education might be disrupted. Specific technologies are examined, including the Virtual Learning Environment and Wikipedia. Specific practices are analysed, including Bring Your Own Device. The article argues higher education has not been disrupted by technology to date, but that the conditions for disruption are increasingly propitious. Keywords: technology enhanced learning; disruptive innovation; virtual learning environment (VLE); bring your own device (BYOD); Wikipedia; higher education.",2021,"",Educational Innovation; Educational Change; Electronic Learning; Technology Uses in Education; Higher Education; Encyclopedias; Electronic Publishing; Handheld Devices; Models; COVID-19,"Flavin, Michael",Journal Articles; Reports - Evaluative
